source,comment,Product,date
Amazon,Self explanatory,A,2022-10-21 00:00:00.000000
Amazon,Very fresh and crisp. I would buy them again! Not cracked either!,A,2022-09-26 00:00:00.000000
Amazon,Good deal for a good price shipping was fast.,A,2022-10-01 00:00:00.000000
Amazon,Came quick and fresh…. Would recommend!,A,2022-10-05 00:00:00.000000
Amazon,,A,2022-10-16 00:00:00.000000
Amazon,Milks best friend. My grandson is obsessed with Oreos.,A,2022-09-26 00:00:00.000000
Amazon,Best of the best,A,2022-06-27 00:00:00.000000
Amazon,I love these!,A,2022-06-22 00:00:00.000000
Amazon,Good deal and fast delivery. Fresh and not smashed.,A,2022-09-13 00:00:00.000000
Amazon,Hard to top a 3-pack of Oreos,A,2022-09-21 00:00:00.000000
Amazon,Oreos are my favorite store bought cookie and have been eating for years.,A,2022-08-22 00:00:00.000000
Amazon,The kids at work were happy to get them.,A,2022-09-02 00:00:00.000000
Amazon,Oreos is an old friend from as long as I can remember. They were not available for years when I lived abroad. I can remember the time the grocery had a few tiny packages of Oreos. That was wonderful—a taste of home!  Now I can buy these big family packages of Oreos whenever I wish.  They never change.  Same delicious chocolate cookies with creamy filings. I don’t know how old are Oreos but I know how old I am and can remember enjoying them in the 1930’s.  I still eat them the same way - open them and eat one side at a time. Maybe lick off some of the filling first.  Brings out the inner child.,A,2021-08-17 00:00:00.000000
Amazon,great,A,2022-09-21 00:00:00.000000
Amazon,"Dude, they’re Oreos.",A,2022-09-17 00:00:00.000000
Amazon,"They seem to not stay ""hard or as crisp"" as store bought but I popped them in the fridge & problem solved.",A,2022-07-10 00:00:00.000000
Amazon,I made chocolate covered Oreos for a wedding reception.,A,2022-08-07 00:00:00.000000
Amazon,"Oreo, nothing else need to be said",A,2022-08-05 00:00:00.000000
Amazon,"My Son loves Oreo cookies. Finding a 3 pack-family size-sold on amazon for an unbeatable price was great! The packages are 1lb. 3.1 oz. 160 calories for 3 cookies  They are fresh & full of the Oreo flavor we love. They come packaged together in one box~see picture~ very secure, avoiding a crushed cookie package. I take advantage of subscribe & save which gives additional savings as well as the convenience of ordering when I need them. Definitely recommend this 3 pack!",A,2021-06-03 00:00:00.000000
Amazon,No other brand can compare to Oreos. Their are cookies that looked the same but only let me down in taste and quality.Oreos never let me down.,A,2022-05-18 00:00:00.000000
Amazon,"If you have a toddler who likes the inside creme or a husband who dunks them in milk or you like to dunk them in coffee, then you probably have 2 or 3 packages of Oreos in your pantry. The great thing about Oreo cookies is that all ages love them - -from toddlers on up. So I'm always on the look out for a good deal on these!",A,2021-12-07 00:00:00.000000
Amazon,I ate them:),A,2022-07-27 00:00:00.000000
Amazon,Appetizers. Munching.,A,2022-07-28 00:00:00.000000
Amazon,Oreos are good,A,2022-03-23 00:00:00.000000
Amazon,We were using these for the minute to win it game face the cookie but a lot came broken which couldn’t be used for the game. Luckily we had enough.,A,2022-08-10 00:00:00.000000
Amazon,"I won't buy multipackages like this again, almost all the cookies came broken and I don't think they are as fresh as you would get in store.",A,2022-08-14 00:00:00.000000
Amazon,Great item,A,2022-07-21 00:00:00.000000
Amazon,"I never liked Oreos growing up. They were too sweet for me. The price was good and I decided to try the 3 packs of cookies, thinking I'd give some away to be kids or neighbor kids.These seem to have less filling and son of a gun, they have become addicting. I have eaten 5 out of 6 packs in the last month all by myself.My weight is low but I really can't keep buying them.They are good and come well packaged. 😁",A,2021-05-02 00:00:00.000000
Amazon,"The third package was a bunch of broken cookies, O.K. if you have some ice cream handy",A,2022-05-21 00:00:00.000000
Amazon,Love this with a glass of milk,A,2022-06-20 00:00:00.000000
Amazon,OMgosh who doesn't like Oreos (with milk),A,2022-06-15 00:00:00.000000
Amazon,"How’d you expect I’m gonna be like some hater who doesn’t like Oreos, nah. They’re delicious. It’s an Oreo.",A,2022-04-26 00:00:00.000000
Amazon,Always the best in freshness but sometimes the price is not good.  Right good.,A,2022-04-27 00:00:00.000000
Amazon,In a package of THREE!!,A,2022-06-12 00:00:00.000000
Amazon,The flavor and freshness was awesome,A,2022-05-24 00:00:00.000000
Amazon,Can't mess up Oreos. They were just fine!,A,2022-05-09 00:00:00.000000
Amazon,Great offer and price in my opinion,A,2022-05-14 00:00:00.000000
Amazon,"These cookies bring back many memories of my children and are excellent to make recipes, I use them for ice cream, smoothies or as my custom, dip them into milk. its flavor is unique. the packaging is very smart it is just a matter of pulling the tape from above. It makes it more comfortable to serve it and it keeps it away from insects, it preserves its freshness and they do not get old or stale, I am very satisfied with the purchase",A,2020-10-20 00:00:00.000000
Amazon,Oreos delivered what’s to dislike.,A,2022-05-23 00:00:00.000000
Amazon,"Are you wanting to make a cookie crust? Have some crushed oreos on your sundae? Perhaps you want to try your hand at a DIY oreo McFlurry. Then these are the oreos for you! The warehouse employees and delivery drivers have taken it upon themselves to help you out and supply you with precrumbled cookies. We have had these delivered several times (because it takes us awhile to learn lessons) and they have been extremely consistent with their quality! Fortunately, broken oreos still taste like oreos. Added bonus, broken oreos have slightly less calories. Unless you dump the crumbs from the package into your mouth.",A,2021-11-08 00:00:00.000000
Amazon,Great if you don’t want to bulk buy at the store!,A,2022-04-05 00:00:00.000000
Amazon,It's delicious Oreo cookies with cream in the middle. Kids will likely just eat the cream leaving you the satisfaction of just the cookies. That's just how it is.,A,2022-01-08 00:00:00.000000
Amazon,Nothing product is good.,A,2022-05-09 00:00:00.000000
Amazon,Love the Price,A,2022-05-16 00:00:00.000000
Amazon,very nice!,A,2022-05-19 00:00:00.000000
Amazon,Item is excellent as all Amazon items are ~~!,A,2022-03-25 00:00:00.000000
Amazon,It was kind of competitive price wise it would equal the price at the store when they were on sale,A,2022-01-30 00:00:00.000000
Amazon,Fresh,A,2022-05-17 00:00:00.000000
Amazon,Didn't satisfy,A,2021-11-29 00:00:00.000000
Amazon,Oreos are always a favorite in our home! Purchased off Amazon because the price beat our local grocery store. A few arrived broken but no different but not enough that I would complain or return.,A,2021-04-25 00:00:00.000000
Amazon,Make sure you have milk when you get these!,A,2022-02-20 00:00:00.000000
Amazon,"Very, very disappointed.  The best part of the Oreo is missing .. where is the cream.  The package shows cream, not thin, which these are not .. all cookies not even enough to twist apart and scrap a taste.  Will not order any more from this",A,2022-09-17 00:00:00.000000
Amazon,Not disappointed at all! I will buy again,A,2021-09-15 00:00:00.000000
Amazon,Perfect cookies,A,2022-03-24 00:00:00.000000
Amazon,,A,2022-03-26 00:00:00.000000
Amazon,Very reasonable for a family who loves oreos,A,2022-02-05 00:00:00.000000
Amazon,this are the classic cookies from my childhood.  very fresh and great value for the 3 package price.  good with milk or ice cream.,A,2021-04-25 00:00:00.000000
Amazon,THE TASTE IS GOOD AND CRUNCHY. BUT I COULD NO FIND THE EXPIERY DATE ELSEWHERE IN THE PACKAGES ( I BOUGHT THREE FAMILY SIZE WHICH ARRIVED THREE DAYS AGO. I NEED TO KNOW THE EXPIRATION DATE OF ALL FOOD AND MEDICINES I BUY). ALSO THERE WAS NO MENTION OF THE PERCENTAGE OF CACOA IN THIS COOKIES.,A,2020-05-06 00:00:00.000000
Amazon,not sure you really need a review for Oreos.They are awesome….,A,2021-12-31 00:00:00.000000
Amazon,"I'm not a big oreos fan but they're allergy friendly so I buy them often. They get to me quuckly and intact which is great, the price is good too! I'll throw a handful into a glass of milk and make my own cookies n cream milk.",A,2021-02-05 00:00:00.000000
Amazon,"Oreo's are always fresh,not broken up like some products from othershippers.. Amazon has the best shipping for their products.Alwayspackaged and boxed very well.Thank you for expert shipping.Gwendolyn Reed",A,2021-08-18 00:00:00.000000
Amazon,Oreos was a good deal for what I paid for 3 packs.But one pack was mostly crumbled cookies. Brings down value that I thought I got.  Box even has an inspection sticker on it.,A,2022-09-28 00:00:00.000000
Amazon,"3 family size packs of ores for less than $9, couldn't pass that deal up, especially when my household loves them",A,2021-05-10 00:00:00.000000
Amazon,"I love these cookies! They are decadence personified! Even when I take out the cream in the center to lower the calories, still decadence. I love these cookies!",A,2021-08-26 00:00:00.000000
Amazon,"It's incredibly delicious. Too bad it contains too much sugar and other additives, and I can only take very limited amount each day to stay healthy. Actually, if it's to stay healthy, I shouldn't have bought it in the first place. Anyway, you know what I mean. Even so, I can't help eating more than what's recommended for daily intake (25g sugar, about 5 cookies).",A,2020-04-24 00:00:00.000000
Amazon,"Not much to say, I love oreos and these are just as you would expect. Came mailed to me directly from Nabisco and were packaged in a well formed box with no broken cookies.",A,2021-04-22 00:00:00.000000
Amazon,I've ordered these before and they arrived intact! This time many of them were broke! Hard to dunk a broken cookie! Will just but from grocery store from now on!,A,2021-05-11 00:00:00.000000
Amazon,Enjoyed these cookies for years so was happy to find them at a lower price from Amazon. The package I received was fresher than any I have ever found locally.,A,2021-05-05 00:00:00.000000
Amazon,Helps for a quick intake of calories.,A,2021-07-12 00:00:00.000000
Amazon,"They are Oreos, same taste flavor etc.its a nice treat to get, silly to wait for them to be shipped to me but it was available!!",A,2021-06-14 00:00:00.000000
Amazon,MY KIDS LOVE OREO SANDWICH COOKIES.,A,2021-07-22 00:00:00.000000
Amazon,"Wasn't sure how Oreos would be via Amazon, but they were fresh and tasty and I will buy them again. Who needs to go to the grocery store when you need a cookie fix? Not this girl.",A,2021-01-03 00:00:00.000000
Amazon,My grandparents loved them as a little quarantine surprise. They said their cookie jars we're empty and I helped them fix that.They said they were packaged really well from what I remember. It made them happy so that's what matters. 5 stars!,A,2020-10-20 00:00:00.000000
Amazon,Perfect to dunk in a cold glass of milk. Been doing for years,A,2021-11-03 00:00:00.000000
Amazon,oreos >>>,A,2022-01-07 00:00:00.000000
Amazon,The Family size pack of Oreo's times three.  Good price and quick delivery,A,2021-10-17 00:00:00.000000
Amazon,so sweet ... so addictive ... so good with coffee ...,A,2021-03-24 00:00:00.000000
Amazon,"Oreo is the legacy for our pantry, not only kids but us all love them, even my 2 years old, knows twist and eat center part first LOL",A,2021-04-11 00:00:00.000000
Amazon,"Yum. While I don't buy a lot of ""store"" cookies, I'll never turn down an Oreo if offered. This was a treat, but I'm probably better off passing up my next yearning.",A,2021-01-29 00:00:00.000000
Amazon,When I bought this product it was only 8 dollars. You get three family sized packs of oreos. They came in great condition and none of the cookies were crushed.  It's definitley worth buying if you love oreos and a cheap price!!,A,2020-09-19 00:00:00.000000
Amazon,im fat. buy preworkout instead,A,2021-12-12 00:00:00.000000
Amazon,I love Oreos and what’s better then a Oreo ? 3 family size boxes of Oreos !!!!! Just don’t forget the milk! I love cookies !,A,2021-04-03 00:00:00.000000
Amazon,Saw a good deal on these oreos so ordered and sent as a little pick me up gift to someone.  Was a nice treat for them.,A,2021-03-03 00:00:00.000000
Amazon,Arrived fresh and gone in a few days.,A,2021-03-09 00:00:00.000000
Amazon,I Love Oreos Plain And Simple!!  They Are Great!!,A,2021-10-19 00:00:00.000000
Amazon,My daughter had these listed on her Christmas gift list. She was so happy to see she had three packs of Oreos just for herself.,A,2021-04-08 00:00:00.000000
Amazon,My husband likes dipping his in his cup of coffee or glass of milk. These were a great find. Now he has enough to share!,A,2021-03-12 00:00:00.000000
Amazon,"Be above the temptation to fill your face full of these. Good things must be earned. Instant gratification makes you weak, stop lying to yourself. They are good though, huh? Damn I want some more right now.",A,2020-10-17 00:00:00.000000
Amazon,"Too sweet for me. Love the cookie part, but no the cream.",A,2021-01-21 00:00:00.000000
Amazon,Great buy-Freah-packaged very well-Hard to find anything wrong “With Oreos & Milk”,A,2021-09-04 00:00:00.000000
Amazon,What can i say about an Oreo cookie? They were fantastic ... delicious...I need to order the chocolate filling ones next time.,A,2021-04-10 00:00:00.000000
Amazon,Love em even more when they come to my door!,A,2021-09-19 00:00:00.000000
Amazon,Always love to have it . Great freshness . Value for money is great if you buy in bulk .,A,2021-04-23 00:00:00.000000
Amazon,Very good deal when the price drops down to 5 for 3 family packs. The cookies have a decent shelf life even on sale!——All three packets were sealed and barely any cookies broken. Would totally buy again!,A,2020-08-06 00:00:00.000000
Amazon,I’ve been eating Oreo Cookies since I was a kid. The product was great and the price was right.,A,2021-04-22 00:00:00.000000
Amazon,They where broke they tasted stale. No I didn't because I don't like eating stale cookies but 5yrs don't know. As a mother I felt ashamed to be feeding them those cookies.,A,2021-10-07 00:00:00.000000
Amazon,"Who doesn't like oreos, a traditional favorite and surprised a dear friend 35 years in the rear.G Doc",A,2021-03-24 00:00:00.000000
Amazon,"These Oreos are AMAZING, they have a nice fresh taste, all three packages came full, and arrived in two days. I really recommend.",A,2021-02-12 00:00:00.000000
Amazon,No cookies were crushed or broken. Shipped well. Can’t go wrong with any Oreo’s,A,2020-10-12 00:00:00.000000
Amazon,These are old favorites - only problem with them is stuffing myself.,A,2020-11-17 00:00:00.000000
Amazon,I bought these oreos and had them sent to a friend and they arrived in time to make her bad day better!,A,2021-02-14 00:00:00.000000
Amazon,My son lives Oreos and pick. Was a great deal to buy.,A,2021-07-21 00:00:00.000000
Amazon,If Oreo Cookies had No Useless Corn Syrup They Would Taste Better!,A,2020-11-04 00:00:00.000000
Amazon,1. Blend up a bunch of vanilla ice cream and milk2. Add a couple scoops of rainbow sherbert ice cream3. Add a bunch of strawberries + oreos4. Blend it up and prepare for awesomeness!,A,2020-07-27 00:00:00.000000
Amazon,Great for snacking!,A,2021-04-29 00:00:00.000000
Amazon,Have to drink with milkBrings back happy memories. And perfect sizeMy 89 yr old husband loves them too,A,2021-02-12 00:00:00.000000
Amazon,This is my 3 kids favorite cookies so I was very happy for the value and price I paid for. I ordered the 3 pack which is cheaper and more convenient  than going to the grocery store.,A,2020-07-02 00:00:00.000000
Amazon,"Purchased on April 23, 2022. Expiration date is May 25, 2022. They taste fine, BUT 1 month to eat 3 packages of cookies is not enough time for me. I will just purchase from the grocery store when they are on sale.",A,2022-05-15 00:00:00.000000
Amazon,can never go wrong with oreos.!!,A,2021-10-19 00:00:00.000000
Amazon,"They're a classic, and for the price straight to the door, you can't complain. I was in cookie heaven for a shamefully short amount of time.",A,2020-10-28 00:00:00.000000
Amazon,These are priced very well and were fresh.,A,2021-09-11 00:00:00.000000
Amazon,"Soo good and yummy, 3 family size packs. Sealed and nicely packed. Good price.",A,2021-04-30 00:00:00.000000
Amazon,They are Oreo's so they are good. The packaging and Delivery is great.,A,2021-06-10 00:00:00.000000
Amazon,Perfect quantity for the price. But the cookies were nearly all crushed.,A,2021-12-16 00:00:00.000000
Amazon,"Its Oreo, what else I could say. I love chocolate Oreo cookies",A,2021-06-05 00:00:00.000000
Amazon,Gift for a coworker!!!,A,2021-10-19 00:00:00.000000
Amazon,I was a bit worried about breakage in the mail. Happy to report that not a single cookie was damaged.,A,2021-01-06 00:00:00.000000
Amazon,thank you for restoring my faith in the Oreo they was so delicious like the old Oreo and when I receive them they was so fresh,A,2020-07-12 00:00:00.000000
Amazon,cancel order,A,2021-10-31 00:00:00.000000
Amazon,my toddler loves it!,A,2021-10-04 00:00:00.000000
Amazon,"Recieved the wrong order. I ordered 3 family size packages of oreos. But I recieved 2 family size packs of oreos, and 1 family size pack of chips ahoy chocolate chip cookies. I am kinda upset cause I am not a fan of chips ahoy. That's why I specifically avoided choosing the other packages I seen with that as an option. If I am paying that much I would hope to receive the right order.",A,2020-04-13 00:00:00.000000
Amazon,The cookies are excellent and will purchased more,A,2021-07-24 00:00:00.000000
Amazon,when you can’t find them on sale and find you wanting them.... Very convenient and almost same price as in stores....,A,2020-11-07 00:00:00.000000
Amazon,do not buy large quantities due to expiration date.,A,2021-06-22 00:00:00.000000
Amazon,The 3 family sized packages arrived in perfect condition.I will order them again!,A,2021-04-05 00:00:00.000000
Amazon,Totally perfect,A,2021-10-13 00:00:00.000000
Amazon,Expiration date is a couple months away. They are fresh tasting. Great price.,A,2020-10-06 00:00:00.000000
Amazon,This is THE PERFECT COOKIEEnough said.,A,2021-07-08 00:00:00.000000
Amazon,"Either the packaging was faulty, or these packs were used in a game of cornhole. Many broken cookies on one end of the package.",A,2021-09-12 00:00:00.000000
Amazon,Great 3 pk for the $,A,2021-07-14 00:00:00.000000
Amazon,"I have been ordering for a while now , love the cookies , better price than the grocery stores",A,2020-12-09 00:00:00.000000
Amazon,"Not fresh. I ordered 2 of the 3-pack. They arrived on May 9, 2022 with a best by date of June 2, 2022. The cookies aren't that crunchy anymore and it's sad.",A,2022-05-10 00:00:00.000000
Amazon,I love oreos. Great deal for the price.,A,2021-06-03 00:00:00.000000
Amazon,"My son loved them, thank you!!!!",A,2021-07-20 00:00:00.000000
Amazon,Fresh and delicious,A,2021-09-10 00:00:00.000000
Amazon,very tastey and fresh,A,2021-07-26 00:00:00.000000
Amazon,They are Oreos. They are great.,A,2021-06-17 00:00:00.000000
Amazon,"The media could not be loaded.
                



 delicious and stays fresh",A,2021-06-05 00:00:00.000000
Amazon,Good,A,2021-10-08 00:00:00.000000
Amazon,Good value for the money,A,2021-07-09 00:00:00.000000
Amazon,We got three family size packages for under $9 what a great deal,A,2020-12-31 00:00:00.000000
Amazon,3 big packs of Oreo for so cheap.,A,2021-06-04 00:00:00.000000
Amazon,"Great price, friend loved these",A,2021-07-06 00:00:00.000000
Amazon,tasty and fattening,A,2021-01-30 00:00:00.000000
Amazon,Came just as described and ahead of schedule,A,2021-05-27 00:00:00.000000
Amazon,Was delivered early and very satisfied.,A,2021-06-27 00:00:00.000000
Amazon,I love Oreos. They are  the best tasting.,A,2021-05-01 00:00:00.000000
Amazon,Can't beat this price when I go into larger supermarkets or stores so I just buy it from here.,A,2020-10-12 00:00:00.000000
Amazon,MUNCHIES!!!!!!,A,2021-09-29 00:00:00.000000
Amazon,They're Oreos. What more is there to say besides YUMMY.,A,2021-02-08 00:00:00.000000
Amazon,What can you say about Oreos they're absolutely awesome. the shipping is a little slow due to the pandemic that's understandable but when this package arrived I was happy.,A,2020-05-05 00:00:00.000000
Amazon,My favorite cookie. Bought online to save trips to store.,A,2021-03-08 00:00:00.000000
Amazon,great cookies at a great price !!!,A,2021-04-26 00:00:00.000000
Amazon,"NoDislike,The Oreo Cookies were fresh and had a great taste.",A,2021-03-06 00:00:00.000000
Amazon,"Super yummy, you know you want some :)",A,2021-04-09 00:00:00.000000
Amazon,I dis liked the flaver i will not by them they where good price walmart oreos tasted better,A,2022-07-24 00:00:00.000000
Amazon,Good price for amounts sold,A,2021-05-30 00:00:00.000000
Amazon,The cookies were going out of date in Jan.2021. The cookies barely had any creme in the middle & they didn't taste very good like they were old. The cookies were plain not chocolate filled. I have bought them thru Amazon before & they were good.,A,2020-10-28 00:00:00.000000
Amazon,This was an awesome deal for 3 packs!,A,2021-04-06 00:00:00.000000
Amazon,Great price,A,2021-08-01 00:00:00.000000
Amazon,These have the knock off Oreo taste. Not pleasant. Idk if it's because I'm used to having the double stuffed but the flavor is off.I actually thought I had ordered the double stuffed pack of 3 that I ordered before. But apparently I played myself.,A,2020-10-21 00:00:00.000000
Amazon,Tastes good and great price,A,2021-05-15 00:00:00.000000
Amazon,Delicious,A,2021-08-19 00:00:00.000000
Amazon,"Taste great at a great price, enough said.",A,2021-03-06 00:00:00.000000
